subject,subscribers,free,fee,reviews,avg reviews,level,lectures,duration,published date,subtitles,recommend
Design,6611,0,1700,1211,3.0,Intermediate,13,388,2012-10-29,1,0
Science,9194,0,790,7635,1.5,Beginner,6,118,2015-04-26,0,0
Management,9051,0,2240,7637,1.5,Intermediate,12,448,2002-06-14,0,0
Music,6642,0,1880,1591,3.5,Expert,18,724,2008-06-03,1,0
Management,10647,0,1460,9818,2.0,Intermediate,2,58,2016-10-26,1,0
Design,4705,0,1310,1109,4.0,Expert,5,180,2013-11-26,0,0
Science,12914,0,1060,5877,5.0,Expert,8,162,2005-12-29,0,1
Music,6569,1,0,5579,2.5,Beginner,10,193,2003-10-14,0,1
Social Sciences,10286,0,1660,976,3.5,Beginner,7,215,2004-04-06,1,0
Personal Development,2614,0,170,2027,1.5,Expert,11,305,2007-05-16,0,1
Photography,7363,1,0,5695,0.5,Beginner,14,338,2005-07-05,1,1
Social Sciences,8860,0,830,6966,0.5,Intermediate,8,271,2019-08-19,1,0
Management,8151,0,330,4542,1.5,Beginner,3,81,2021-11-30,1,0
Music,10604,1,0,1522,3.0,Intermediate,11,362,2007-01-10,1,1
Social Sciences,5362,0,1080,3007,4.0,Beginner,17,384,2018-08-14,1,0
Design,1778,0,190,1289,1.5,Expert,16,482,2018-05-04,1,1
Photography,4363,0,1130,3545,3.0,Intermediate,4,110,2005-01-20,1,0
Design,10683,0,810,5160,3.5,Expert,17,730,2014-08-18,1,0
Personal Development,2261,0,3200,1240,1.5,Intermediate,1,41,2012-10-18,1,0
Design,10504,1,0,6530,2.5,Intermediate,10,218,2020-07-05,1,1
Information Technology,3236,0,1630,1124,5.0,Beginner,4,156,2010-07-01,1,0
Music,6789,0,790,3083,2.0,Intermediate,2,27,2004-10-20,0,0
Information Technology,5927,1,0,2237,2.0,Beginner,14,573,2002-10-24,0,1
Information Technology,13157,0,790,7478,1.5,Expert,14,242,2004-05-14,0,1
Personal Development,7063,0,870,5216,4.5,Expert,15,361,2003-08-20,1,0
Music,7560,1,0,4472,0.5,Intermediate,5,159,2005-09-24,0,1
Music,7883,0,1190,1736,5.0,Expert,12,371,2009-08-03,0,0
Information Technology,9073,0,4040,8042,2.0,Beginner,14,125,2008-09-08,0,0
Music,3943,0,2070,3291,1.5,Expert,4,60,2007-10-22,0,0
Science,8148,0,760,6117,2.0,Intermediate,9,476,2010-03-12,1,0
Personal Development,5804,0,940,4998,4.0,Expert,18,513,2020-03-16,0,0
Science,6296,0,1290,5267,5.0,Intermediate,10,470,2008-09-28,1,1
Music,10009,1,0,7279,3.5,Expert,10,281,2018-06-25,0,1
Personal Development,5965,0,220,3894,3.0,Expert,12,267,2019-09-23,1,1
Design,9411,1,0,8815,5.0,Intermediate,17,475,2012-03-28,0,1
Photography,5298,0,420,1840,4.5,Expert,9,254,2005-02-28,1,1
Personal Development,8269,0,310,2687,4.5,Beginner,11,175,2017-09-09,0,0
Personal Development,10599,0,2200,4081,0.0,Beginner,2,54,2010-06-12,1,0
Photography,5011,0,710,2510,3.0,Intermediate,12,210,2020-11-01,1,0
Personal Development,8659,0,880,8155,1.0,Intermediate,4,110,2006-02-26,1,0
Management,9183,1,0,8430,1.5,Intermediate,7,288,2019-06-04,1,1
Information Technology,6154,0,300,3831,2.5,Intermediate,1,34,2008-04-16,1,0
Science,4077,0,210,1567,1.5,Beginner,10,383,2004-12-12,0,0
Management,7888,0,1990,1489,1.5,Beginner,4,50,2004-07-22,0,0
Social Sciences,3339,1,0,88,3.0,Beginner,11,296,2013-01-23,1,1
Photography,12858,0,1870,3688,4.5,Intermediate,12,341,2014-03-19,1,1
Photography,9247,0,330,6625,2.5,Expert,10,229,2006-11-21,1,1
Information Technology,2430,0,1250,1958,2.0,Expert,16,414,2007-02-22,0,0
Photography,9599,1,0,4894,3.0,Beginner,15,104,2015-11-21,0,1
Design,8759,0,1420,3325,3.5,Beginner,12,274,2014-08-02,0,0
Science,9413,0,530,5558,0.5,Expert,11,369,2018-10-16,0,0
Information Technology,3943,0,370,922,1.0,Intermediate,9,401,2009-03-05,1,0
Personal Development,7710,0,1430,888,2.0,Expert,11,250,2004-07-25,0,0
Music,7830,0,4090,1972,0.5,Intermediate,12,628,2002-04-12,1,0
Management,12086,0,130,10491,5.0,Intermediate,4,93,2015-11-17,0,1
Information Technology,7902,0,390,4227,2.5,Expert,18,404,2020-01-09,0,1
Personal Development,8132,0,3140,4347,3.0,Intermediate,18,467,2003-11-25,1,0
Management,5406,0,2490,1450,1.0,Beginner,7,236,2015-09-26,1,0
Personal Development,7195,0,210,1824,1.0,Beginner,13,440,2015-01-08,0,0
Social Sciences,8424,0,820,5544,0.0,Intermediate,5,153,2020-11-26,0,0
Music,8846,0,5030,7520,4.0,Expert,19,530,2017-04-30,0,0
Information Technology,1727,0,1910,1211,2.0,Intermediate,13,370,2016-01-23,0,0
Information Technology,5959,1,0,1793,3.5,Intermediate,6,286,2014-03-01,1,1
Social Sciences,10081,0,270,3674,2.5,Expert,6,162,2007-01-23,0,1
Science,9160,0,470,2793,0.5,Beginner,6,213,2006-10-01,1,0
Management,10242,1,0,6405,5.0,Intermediate,1,29,2002-09-18,1,1
Personal Development,10384,0,220,6511,2.0,Beginner,2,62,2006-02-05,0,0
Photography,4587,1,0,2425,0.0,Expert,6,223,2005-12-10,0,1
Music,7489,1,0,1989,1.0,Beginner,17,799,2009-07-31,1,1
Management,9142,1,0,6382,0.0,Expert,11,82,2005-03-04,1,1
Photography,9139,0,600,4648,0.5,Beginner,10,285,2004-12-31,0,0
Social Sciences,8751,0,820,1533,1.0,Expert,7,157,2005-05-30,0,0
Management,8965,0,340,4373,5.0,Intermediate,14,411,2009-06-09,0,0
Science,5506,0,1760,3199,1.5,Intermediate,1,37,2006-10-25,0,0
Photography,9147,0,250,3394,0.5,Beginner,10,558,2005-11-18,0,0
Science,4811,1,0,293,0.0,Intermediate,20,568,2018-08-20,0,1
Management,6530,0,1150,5776,5.0,Intermediate,8,113,2010-08-04,0,1
Personal Development,8472,0,2540,8139,5.0,Beginner,17,805,2012-01-13,0,1
Personal Development,12913,1,0,2262,2.5,Beginner,14,196,2013-10-27,1,1
Photography,12200,0,600,4298,0.0,Expert,14,240,2004-07-27,0,1
Personal Development,1730,0,410,1192,0.0,Expert,10,218,2013-02-24,0,1
Management,6079,1,0,5547,2.5,Expert,9,301,2011-02-10,0,1
Management,9045,1,0,1164,2.0,Expert,15,549,2021-01-14,1,1
Photography,10916,0,590,272,4.0,Beginner,13,271,2012-01-12,0,0
Science,6330,1,0,2946,1.0,Beginner,18,516,2012-09-09,1,1
Social Sciences,9030,0,970,5222,5.0,Intermediate,14,582,2016-12-13,0,0
Photography,7497,0,900,1709,2.5,Intermediate,2,67,2009-05-06,0,0
Design,3430,0,940,1831,5.0,Expert,17,293,2020-04-23,1,0
Management,10375,0,2040,2337,3.5,Expert,16,412,2016-09-20,0,0
Music,9656,0,2240,9185,4.5,Intermediate,13,571,2018-10-26,1,1
Personal Development,8582,1,0,5222,0.0,Expert,9,0,2019-03-07,0,1
Design,5864,0,560,193,1.0,Expert,9,392,2009-05-27,0,0
Personal Development,7560,0,3180,5203,4.0,Intermediate,12,110,2007-09-23,1,0
Design,10801,0,980,6147,0.0,Beginner,1,45,2004-01-07,1,0
Design,10853,0,1450,6143,4.5,Expert,2,61,2008-03-29,0,0
Music,4773,0,1870,4765,2.0,Intermediate,8,242,2012-12-27,0,0
Music,8349,0,1300,4194,4.0,Expert,12,269,2017-08-08,1,0
Information Technology,10047,1,0,7246,1.5,Expert,4,134,2007-12-29,0,1
Personal Development,1518,0,190,240,3.0,Beginner,1,38,2015-04-14,1,0
Social Sciences,10017,1,0,1330,1.0,Intermediate,15,396,2017-10-13,0,1
Design,10201,0,1490,7555,1.0,Intermediate,8,182,2008-02-14,1,0
Music,9663,0,1790,7155,4.0,Expert,7,174,2021-06-05,1,0
Science,4841,1,0,3342,4.5,Intermediate,2,65,2007-03-09,1,1
Science,5000,1,0,1215,0.5,Beginner,15,445,2003-09-03,0,1
Design,5095,0,940,2190,1.5,Expert,10,98,2018-11-11,1,0
Design,7942,0,410,5402,1.5,Expert,10,294,2007-01-03,0,1
Management,6527,0,360,5936,3.5,Expert,9,217,2010-03-11,1,1
Photography,6527,0,300,4221,4.0,Expert,15,465,2020-04-28,1,1
Information Technology,6363,1,0,3214,2.0,Intermediate,6,238,2016-01-30,1,1
Photography,4356,0,1100,3456,1.0,Expert,11,330,2004-04-08,1,0
Photography,8893,0,2570,2286,1.5,Intermediate,7,233,2019-01-25,0,0
Social Sciences,12266,1,0,4368,4.0,Beginner,20,444,2019-09-10,1,1
Personal Development,1887,1,0,1255,4.0,Beginner,6,168,2011-08-18,0,1
Photography,9078,1,0,4506,4.0,Beginner,11,624,2007-02-25,0,1
Management,9038,1,0,7016,1.5,Beginner,4,72,2011-05-07,0,1
Personal Development,7340,0,1300,220,1.0,Intermediate,13,529,2009-08-01,1,0
Personal Development,8459,0,540,274,3.0,Intermediate,16,362,2020-01-11,1,0
Information Technology,4781,0,290,4585,4.0,Intermediate,8,275,2021-02-11,0,0
Information Technology,7536,0,1350,4747,3.5,Beginner,6,228,2018-12-25,0,0
Photography,6703,0,810,6517,4.0,Intermediate,10,178,2015-04-22,0,0
Design,8476,0,580,8032,4.0,Beginner,17,456,2003-01-22,1,0
Science,11248,0,280,586,3.0,Expert,13,288,2013-08-25,0,1
Photography,3095,0,980,2379,4.0,Intermediate,11,309,2020-09-23,0,0
Music,14098,0,590,13733,4.0,Intermediate,1,23,2002-05-24,0,1
Management,4910,0,2660,2970,5.0,Intermediate,10,360,2008-05-02,0,0
Music,8572,0,630,1998,3.0,Intermediate,3,84,2007-10-05,1,0
Photography,5398,0,3610,4198,2.5,Intermediate,21,725,2007-08-17,0,0
Science,6169,0,4650,1149,0.0,Intermediate,14,43,2016-10-29,1,0
Design,6639,0,2630,5414,3.5,Expert,11,387,2010-12-05,0,0
Design,9323,0,170,6400,2.5,Intermediate,7,169,2011-06-23,1,1
Information Technology,9024,0,2050,5217,2.5,Beginner,3,112,2018-01-02,1,0
Personal Development,10468,0,1730,8341,0.5,Beginner,9,262,2004-07-05,1,0
Science,5046,0,160,3271,1.5,Expert,14,321,2020-01-14,0,1
Personal Development,7180,0,1050,2772,3.0,Beginner,12,400,2015-07-09,0,0
Information Technology,7635,0,1180,69,1.5,Beginner,6,122,2013-04-02,1,0
Science,2040,0,1130,1487,3.0,Expert,6,215,2020-10-19,0,0
Design,7368,0,910,6694,3.0,Intermediate,12,344,2006-12-16,0,0
Music,7663,0,770,864,2.0,Intermediate,12,411,2003-02-10,1,0
Personal Development,6046,0,1230,890,0.0,Expert,14,451,2009-07-06,0,0
Photography,5560,0,1750,1112,2.5,Expert,15,403,2007-08-04,0,0
Personal Development,6329,0,3440,5618,3.5,Intermediate,15,50,2016-04-16,0,0
Music,4247,1,0,599,2.5,Beginner,5,114,2016-10-29,1,1
Music,7796,0,3160,3277,4.0,Beginner,8,262,2010-02-02,0,0
Social Sciences,5062,0,1640,1364,1.0,Expert,4,166,2012-05-18,1,0
Personal Development,7439,1,0,6420,2.5,Expert,17,658,2008-05-24,1,1
Science,7386,1,0,1946,3.5,Beginner,13,604,2014-01-05,0,1
Management,5793,0,1290,1252,2.0,Expert,4,100,2005-03-21,0,0
Management,4501,0,740,2502,1.5,Intermediate,12,433,2011-07-22,0,0
Social Sciences,7624,1,0,574,3.0,Expert,10,245,2003-02-08,0,1
Social Sciences,4608,0,840,4160,4.5,Expert,7,191,2021-03-25,1,1
Design,4615,0,1060,1100,5.0,Expert,17,867,2012-10-27,1,0
Management,10191,1,0,9623,1.0,Intermediate,6,111,2013-05-18,1,1
Management,10927,0,910,5127,3.5,Intermediate,3,12,2009-08-15,0,0
Science,11124,0,1700,3345,5.0,Intermediate,9,270,2009-06-27,1,0
Personal Development,4936,0,250,2585,4.0,Expert,7,232,2014-03-19,1,1
Information Technology,9397,0,1430,7391,2.5,Intermediate,11,349,2010-12-25,0,0
Design,9185,0,1550,1110,0.0,Expert,4,96,2004-12-03,0,0
Science,7899,0,1170,5663,3.0,Beginner,11,263,2015-11-18,0,0
Music,3591,0,1360,3109,2.0,Beginner,4,150,2019-01-06,0,0
Information Technology,9128,0,370,4026,3.0,Beginner,14,530,2002-01-16,0,0
Science,10758,0,490,7499,1.5,Expert,12,388,2013-10-26,0,1
Design,8365,0,1440,410,1.5,Intermediate,9,257,2012-09-06,0,0
Management,5110,1,0,2768,3.5,Beginner,14,585,2009-03-02,1,1
Design,8808,1,0,4881,2.0,Intermediate,9,568,2003-10-31,0,1
Design,6961,0,920,1810,2.0,Expert,16,362,2007-09-06,1,0
Personal Development,6552,0,190,2079,0.0,Intermediate,5,200,2015-11-19,1,1
Personal Development,8093,0,2490,3389,0.5,Expert,7,183,2003-10-22,1,0
Management,2668,0,720,2646,1.5,Beginner,11,508,2015-12-01,1,0
Design,4886,0,420,869,4.5,Expert,17,640,2006-05-22,1,1
Personal Development,6756,0,680,6747,2.5,Intermediate,14,98,2009-11-13,1,0
Personal Development,4245,0,4010,4093,5.0,Intermediate,22,562,2009-09-07,0,1
Management,10891,1,0,8257,3.5,Beginner,17,660,2006-02-28,1,1
Social Sciences,6674,0,460,5006,2.5,Expert,3,121,2004-09-10,1,1
Design,9716,0,260,7995,0.0,Beginner,17,376,2015-04-15,1,0
Music,4517,1,0,4095,3.0,Intermediate,5,195,2018-03-22,0,1
Social Sciences,10840,1,0,3430,2.0,Beginner,14,635,2014-08-22,1,1
Social Sciences,9591,0,810,3332,0.0,Beginner,15,746,2018-02-23,0,0
Design,8114,1,0,3523,4.0,Beginner,12,260,2011-01-20,0,1
Design,6858,0,1520,5089,0.5,Intermediate,15,757,2004-05-20,0,0
Management,7563,0,290,7534,3.5,Beginner,11,270,2011-11-06,1,0
Design,4402,0,580,2258,1.0,Intermediate,9,468,2005-01-15,0,0
Photography,239,1,0,120,4.0,Expert,14,316,2008-07-16,0,1
Management,7766,0,340,2188,1.0,Expert,12,165,2008-09-25,0,1
Management,11607,0,580,5299,5.0,Beginner,11,142,2008-10-08,1,0
Photography,8384,1,0,3288,5.0,Intermediate,9,318,2010-01-18,1,1
Design,10224,1,0,9438,2.5,Intermediate,7,121,2005-05-18,1,1
Design,6272,0,550,3190,1.5,Beginner,11,395,2007-01-30,1,0
Photography,8943,0,440,4228,2.5,Intermediate,12,388,2002-07-06,1,0
Music,11374,0,1990,8447,1.0,Expert,7,263,2002-06-11,1,0
Design,12946,1,0,8768,3.5,Intermediate,7,307,2013-11-26,1,1
Social Sciences,9375,0,6320,3801,4.5,Beginner,5,144,2008-12-09,1,0
Music,10868,0,480,3728,1.0,Intermediate,9,325,2010-07-08,0,0
Management,6601,0,600,2778,4.0,Intermediate,12,171,2015-01-02,1,0
Design,9025,0,1260,5891,0.5,Beginner,12,453,2019-11-20,0,0
Personal Development,3690,0,2270,2675,0.0,Intermediate,12,230,2007-12-16,1,0
Information Technology,8883,0,1440,2309,4.0,Expert,10,251,2015-04-07,1,0
Social Sciences,12659,0,300,6242,5.0,Beginner,9,161,2021-07-02,0,1
Music,7389,0,1940,497,3.0,Expert,13,397,2017-01-30,1,0
Music,7708,0,470,417,4.5,Intermediate,14,647,2006-11-01,1,0
Information Technology,6190,0,910,5463,5.0,Beginner,18,446,2004-11-04,0,1
Personal Development,9432,0,110,2211,5.0,Beginner,7,133,2018-12-26,0,0
Social Sciences,6069,1,0,4306,4.5,Beginner,8,272,2002-07-30,0,1
Social Sciences,5254,0,1950,2399,0.5,Beginner,16,272,2005-11-14,1,0
Personal Development,9978,0,1380,3741,4.0,Expert,15,483,2014-02-11,0,0
Social Sciences,3445,1,0,566,1.5,Expert,15,396,2012-08-16,1,1
Information Technology,4081,0,290,1492,0.5,Intermediate,4,153,2006-02-19,1,0
Music,9073,0,1000,5871,2.5,Beginner,5,116,2005-12-12,0,0
Management,11267,0,920,8608,2.0,Beginner,5,173,2008-01-08,1,0
Information Technology,8117,0,2590,2707,4.0,Intermediate,9,202,2009-01-17,0,0
Design,11078,0,150,10947,3.0,Beginner,13,191,2019-07-04,1,0
Music,4050,0,480,1562,0.0,Expert,11,256,2002-11-08,1,1
Management,5972,0,1190,387,1.5,Expert,13,407,2005-05-05,1,0
Science,4031,0,540,3446,1.5,Intermediate,5,176,2020-08-20,0,0
Management,10506,0,4700,3730,4.5,Intermediate,14,368,2008-04-02,0,0
Personal Development,5965,0,220,408,1.0,Beginner,8,298,2003-06-29,0,0
Information Technology,13228,0,470,12076,3.5,Expert,10,302,2002-05-21,1,1
Personal Development,7049,1,0,1892,5.0,Intermediate,1,23,2018-09-15,0,1
Information Technology,7891,0,210,4284,0.0,Intermediate,17,703,2021-01-28,0,1
Management,4657,0,390,1387,1.0,Expert,13,316,2007-11-22,1,1
Personal Development,6286,0,300,2197,1.5,Intermediate,10,355,2004-01-05,0,0
Social Sciences,7879,0,760,628,5.0,Expert,9,354,2006-06-16,1,0
Management,5084,0,580,1641,2.5,Intermediate,14,497,2018-10-26,1,0
Science,7826,0,1040,473,4.0,Beginner,4,133,2014-03-17,1,0
Management,8553,0,4290,4935,0.5,Expert,3,143,2021-07-04,1,0
Personal Development,8001,1,0,6626,5.0,Expert,13,343,2017-06-24,1,1
Music,6609,0,830,3025,0.0,Expert,7,311,2005-06-07,1,0
Social Sciences,11534,1,0,9268,4.5,Expert,14,489,2009-05-16,0,1
Management,3161,1,0,2246,2.0,Beginner,13,504,2005-08-25,1,1
Information Technology,14620,0,1610,2892,3.0,Expert,6,165,2006-01-26,1,1
Science,11962,0,640,4182,4.5,Expert,7,220,2008-08-09,0,0
Information Technology,7074,1,0,2056,0.0,Intermediate,8,224,2021-04-20,0,1
Music,7757,1,0,1362,0.0,Beginner,9,314,2012-10-24,1,1
Photography,6610,0,1400,3205,1.5,Expert,5,154,2021-02-23,0,0
Music,5526,0,290,1967,1.5,Expert,16,565,2003-02-23,1,1
Music,7029,1,0,2960,0.5,Intermediate,10,238,2011-08-04,1,1
Design,7751,0,1090,210,5.0,Intermediate,6,233,2006-04-01,0,0
Social Sciences,5993,1,0,2350,4.5,Expert,12,322,2010-12-18,1,1
Music,7749,0,1240,1099,1.5,Beginner,11,226,2009-05-14,0,0
Science,10145,0,1410,3548,4.0,Intermediate,10,177,2003-11-29,1,0
Personal Development,4215,0,1220,701,3.0,Intermediate,9,281,2012-01-25,0,0
Information Technology,7261,0,210,3427,3.0,Expert,17,662,2017-12-24,1,1
Information Technology,6374,1,0,4451,2.0,Beginner,13,133,2021-07-02,1,1
Social Sciences,5143,0,1680,167,2.0,Expert,10,334,2016-04-06,0,0
Science,5110,0,720,2228,4.0,Intermediate,23,789,2004-09-07,1,0
Management,9419,0,200,8886,4.5,Beginner,13,234,2012-10-16,1,1
Management,7282,1,0,4560,4.5,Beginner,8,182,2012-08-30,1,1
Social Sciences,8448,0,220,2725,2.5,Beginner,6,187,2009-07-18,1,0
Social Sciences,3641,0,660,1733,2.5,Beginner,17,699,2008-08-18,1,0
Photography,6753,0,130,2790,4.0,Expert,6,60,2009-07-20,1,1
Photography,10819,0,2380,2829,4.0,Beginner,11,233,2015-01-13,1,0
Management,10331,0,850,8965,2.5,Intermediate,6,203,2013-08-20,0,0
Personal Development,3102,1,0,1053,3.0,Expert,4,97,2007-03-21,0,1
Music,10979,0,730,6724,3.0,Intermediate,8,177,2019-11-26,1,0
Design,11105,0,910,6484,0.5,Expert,13,788,2013-12-03,0,0
Information Technology,8384,0,400,2064,4.0,Intermediate,6,139,2018-02-28,0,0
Information Technology,8768,0,240,4158,1.5,Intermediate,19,0,2017-05-13,1,1
Management,5423,0,140,2488,1.0,Intermediate,1,30,2015-02-11,1,1
Photography,10649,0,670,4581,0.0,Expert,9,168,2016-07-12,1,0
Personal Development,0,1,0,0,3.0,Expert,7,203,2011-09-25,0,1
Science,6013,0,480,2161,3.5,Intermediate,2,52,2007-01-02,0,0
Social Sciences,6199,0,160,3120,1.0,Beginner,5,105,2003-01-01,1,0
Social Sciences,5739,0,310,2347,5.0,Expert,12,415,2002-06-13,1,1
Information Technology,9458,0,190,6409,4.0,Beginner,12,407,2009-09-08,0,0
Music,11763,1,0,7460,3.5,Intermediate,10,228,2010-08-18,1,1
Music,9843,0,320,1091,4.5,Beginner,5,107,2019-12-15,1,0
Social Sciences,10071,1,0,1667,4.5,Intermediate,22,330,2002-08-10,0,1
Personal Development,9380,0,440,4185,0.0,Expert,10,310,2002-10-07,1,1
Management,6613,0,390,3521,2.5,Beginner,15,675,2014-07-25,1,0
Photography,10332,0,2110,7145,2.0,Expert,10,251,2014-07-03,0,0
Social Sciences,5563,0,160,2904,4.5,Expert,5,136,2018-05-27,1,1
Social Sciences,6494,0,250,3313,2.5,Expert,15,590,2016-10-29,0,1
Design,3484,0,150,297,3.5,Beginner,16,586,2009-07-20,1,0
Science,4981,0,420,1097,0.0,Expert,10,355,2017-05-28,1,1
Design,4514,0,120,4352,0.5,Intermediate,12,247,2019-05-05,1,1
Music,7734,0,360,6897,3.0,Beginner,10,199,2011-07-11,1,0
Information Technology,4286,0,830,784,0.5,Intermediate,9,324,2019-07-17,1,0
Social Sciences,1984,0,120,1016,2.5,Expert,5,174,2009-10-10,1,1
Personal Development,7262,1,0,1087,0.5,Intermediate,14,490,2012-04-06,1,1
Science,9370,0,1180,7623,4.0,Intermediate,16,335,2017-10-28,1,0
Management,7166,0,660,4048,3.0,Beginner,5,146,2005-08-30,1,0
Management,10514,1,0,5849,1.0,Beginner,16,299,2013-01-24,1,1
Music,6231,0,720,3979,0.5,Intermediate,6,237,2016-01-26,1,0
Personal Development,5305,0,120,3079,3.0,Intermediate,19,701,2008-05-01,0,1
Music,8120,0,2220,2448,3.5,Expert,2,87,2004-05-24,1,0
Music,9344,0,910,486,2.5,Beginner,10,322,2004-12-01,0,0
Music,5062,0,1030,1205,2.5,Expert,10,499,2007-10-12,1,0
Photography,6630,0,3290,5474,3.5,Expert,3,136,2009-03-15,1,0
Photography,6749,0,2990,2009,5.0,Expert,5,140,2009-01-29,1,0
Music,4136,0,470,1348,1.0,Expert,15,427,2015-09-12,1,1
Photography,2337,0,280,287,4.0,Expert,11,374,2008-08-13,1,1
Social Sciences,4767,0,2640,3931,5.0,Intermediate,5,152,2012-06-05,0,1
Personal Development,10436,0,1350,2623,2.5,Expert,13,615,2006-02-06,1,0
Management,7304,0,940,741,3.0,Beginner,5,217,2014-03-01,0,0
Social Sciences,8484,0,510,452,4.5,Intermediate,14,245,2010-08-15,1,0
Design,8141,1,0,3047,3.0,Intermediate,9,163,2013-03-06,0,1
Information Technology,10117,0,110,9916,1.5,Intermediate,13,202,2002-05-07,0,1
Social Sciences,6901,0,2230,3678,2.0,Expert,11,353,2003-08-07,1,0
Information Technology,14608,0,260,12516,1.5,Expert,9,328,2012-11-16,0,1
Information Technology,11002,0,180,7801,0.5,Intermediate,8,321,2010-11-09,0,1
Management,8019,0,460,6187,4.5,Intermediate,10,484,2016-01-29,1,0
Information Technology,7125,0,1170,1198,3.5,Expert,10,248,2020-10-25,0,0
Design,7885,0,410,3201,0.5,Expert,4,153,2005-11-27,1,1
Music,0,0,330,0,0.5,Expert,7,184,2017-08-02,0,1
Personal Development,10580,0,560,7911,5.0,Expert,13,240,2003-10-25,1,0
Design,6846,0,190,5576,5.0,Expert,9,223,2021-01-31,0,1
Photography,6817,0,1560,1369,0.5,Expert,10,369,2021-09-28,1,0
Photography,7932,0,750,5268,2.5,Intermediate,16,656,2011-09-18,0,0
Management,6127,0,2270,3317,1.5,Beginner,7,146,2010-07-31,0,0
Science,3970,0,190,2774,1.5,Beginner,12,209,2018-03-14,1,0
Personal Development,9495,0,190,3192,1.0,Expert,12,417,2015-05-17,0,1
Personal Development,7109,0,890,6920,3.0,Beginner,4,169,2002-09-10,1,0
Information Technology,8406,0,950,3840,4.5,Intermediate,14,329,2016-12-30,1,0
Information Technology,6085,0,1640,542,1.5,Beginner,10,197,2016-11-28,0,0
Information Technology,7149,0,570,4388,4.0,Intermediate,12,441,2018-04-10,0,0
Social Sciences,11684,0,970,9595,0.0,Beginner,4,92,2013-11-10,1,0
Personal Development,3159,1,0,1501,0.0,Expert,9,166,2021-02-05,1,1
Photography,9916,0,330,7283,2.5,Beginner,6,318,2012-12-27,0,0
Management,3984,0,1280,3720,2.0,Expert,11,285,2004-11-10,1,0
Music,8024,0,200,924,4.0,Intermediate,11,256,2008-03-25,0,1
Management,5808,0,1440,4327,2.0,Intermediate,4,107,2002-03-12,0,0
Social Sciences,6380,0,650,5133,1.5,Intermediate,8,282,2004-02-11,0,0
Design,8278,0,660,5042,0.5,Beginner,14,436,2004-04-09,1,0
Music,10777,1,0,2197,5.0,Intermediate,14,488,2016-01-13,0,1
Science,4614,0,190,4524,3.5,Intermediate,19,90,2019-12-29,0,1
Social Sciences,8111,0,660,2084,3.5,Intermediate,1,29,2019-05-12,0,0
Information Technology,5007,0,1450,460,1.5,Intermediate,14,359,2011-11-15,0,0
Music,12464,0,100,1171,4.0,Expert,7,251,2011-03-15,0,1
Design,380,0,3560,282,4.0,Beginner,6,236,2009-06-06,1,0
Management,3911,0,680,2862,5.0,Expert,10,377,2016-07-26,1,0
Management,8153,1,0,2817,3.5,Expert,10,355,2014-11-29,1,1
Information Technology,4682,0,150,4209,5.0,Intermediate,5,130,2012-07-10,0,1
Management,10548,0,1320,9152,4.0,Beginner,16,638,2006-05-31,1,0
Management,7576,1,0,1341,5.0,Intermediate,8,339,2015-11-29,1,1
Science,14201,0,7360,1783,2.0,Expert,14,392,2002-08-29,0,1
Design,11726,0,410,10381,0.0,Intermediate,1,30,2019-02-07,1,0
Information Technology,9365,0,2680,8465,5.0,Beginner,9,354,2017-11-17,1,1
Information Technology,8073,0,350,5635,3.5,Beginner,12,520,2006-04-21,0,0
Music,5771,0,190,4750,5.0,Beginner,16,529,2005-05-30,1,1
Management,7255,1,0,209,2.0,Expert,8,253,2013-01-11,1,1
Personal Development,5379,0,120,4549,4.5,Beginner,10,290,2002-05-12,1,1
Design,11529,0,750,10845,4.5,Beginner,7,355,2012-09-14,1,1
Information Technology,7042,0,2360,2098,4.0,Intermediate,7,134,2005-08-24,0,0
Management,7008,0,460,3744,4.5,Expert,7,231,2007-09-23,1,1
Personal Development,9243,0,130,2653,4.5,Beginner,8,284,2003-03-15,1,0
Music,4580,0,130,4202,2.5,Expert,10,113,2009-01-22,1,1
Science,5084,0,1090,3780,1.5,Expert,2,86,2015-05-16,1,0
Information Technology,9153,0,2350,8136,2.5,Intermediate,1,29,2005-06-15,1,0
Information Technology,11578,0,140,7475,0.5,Intermediate,14,230,2012-10-30,1,1
Photography,10580,0,1480,5602,2.0,Beginner,15,423,2018-05-06,0,0
Management,5985,1,0,4925,3.5,Beginner,5,151,2020-05-20,0,1
Music,11579,1,0,8916,1.5,Intermediate,16,431,2013-07-05,0,1
Design,7652,0,3600,7292,2.5,Expert,13,276,2007-10-22,0,0
Personal Development,5111,1,0,2963,0.0,Beginner,8,204,2004-06-14,1,1
Music,8121,0,1290,4267,3.5,Beginner,9,299,2014-02-28,0,0
Design,6032,1,0,1927,5.0,Intermediate,9,227,2013-06-08,1,1
Design,4098,0,2220,629,4.5,Intermediate,11,402,2016-02-29,0,0
Design,5061,0,180,3854,5.0,Expert,17,433,2015-09-08,0,1
Social Sciences,852,0,530,85,0.5,Beginner,7,169,2010-11-08,1,0
Science,7676,0,650,3493,1.5,Expert,8,127,2015-12-14,1,0
Science,3807,0,4310,2188,1.0,Expert,9,229,2020-02-09,1,0
Information Technology,7043,0,380,2037,1.0,Expert,11,231,2009-01-03,0,1
